file,participant,condition,conflict_text,p_right,t_right,perceived_pt,age,gender,race,race_other
1a,1359,control,"One of my friends who I often get annoyed with asked me to edit some photos for him for 20 bucks. He paid me before I even agreed to do the work. I asked him what he wanted me to do with the photos and he gave a long list of instructions, most of which said 'do whatever you think would look good'. When I sent him the edited photos, for some reason he said he couldn't tell the difference even though they were obviously edited. He asked me to edit them again to make more noticeable differences but I told him no because I did everything he asked and he previously agreed to take whatever I gave him. He got very mad at me and told me that I was being a horrible friend and that I was 'scamming him'. Apparently I was supposed to disregard what he said about 'taking what I give him' and redo all of the photos for no extra payment. I kept the money that he agreed to pay me and he continued to complain and call me a terrible person. Whenever this 'friend' makes me mad, it's always ok for some reason in his eyes but the one time that I make him mad, I'm the horrible person? I've known this person for a very long time and I've been wanting to get away from the relationship so I blocked his phone number.",7,1,5,21,male,White,
1a,1370,control,"I haven't had too many memorable conflicts. But, one of the few that come to mind is from my time as a supervisor at Albertsons. A customer came in the store who we have had to have arrested multiple times for menacing, robbery, and theft. This customer was not allowed to be on our store premises, therefore I asked him to leave. He tried to ignore me, but could obviously hear me. I continued to ask him to leave and told him I was calling the police.",7,1,1,19,female,White,
1a,1375,control,"Most memorable conflict I have had with another person was with my mom during early high school. I think I was just at a stage in my life when I wanted independence and freedom for the first time. It was hard for us to create an understanding and compromise. There were many fights and arguments. But eventually we were able to compromise. It mainly concerned who I was hanging out with, how long I wanted to stay out at night etc.",3,5,1,19,female,White,
1a,1384,control,"Recently we have had room selections coming up this weekend and as members fight for the best rooms in the chapter house the subject becomes highly controversial. With a Newley elected house manager the bidding process is occurring a lot differently than it was in prior years according to members who have gone through it in years prior. To refine the order it came down to the obvious first picks, the executive counsel, with those holding the highest gpa following in order. This way a members compensation to the house is judged of their grade point average. In this becoming an official jurisdiction members obviously of the lower grade group disliked how the process was is being conducted. To end the huge debate occurring over the weeks the house manger came to the jurisdiction that there were other factors that could be included such as volunteer sessions, house points, etc...",4,4,4,18,male,White,
1a,1385,control,"This conflict is rather small but very memorable. I was doing a challenge called the 75 Hard which required me to not drink alcohol, work out twice a day, read every day, drink a gallon of water every day, among many more things for 75 days. I cheated during the challenge one weekend because I drank, and I felt very conflicted with myself and the challenge but also my personal beliefs and with my family. I am the oldest child so I always want to be a good role model for my siblings and doing this made me feel like I let them down. This impacted a small part of my relationship with my father as he has very high expectations for me and I have always lived by them. I kept this a secret for awhile until I couldn't anymore. I told my dad and he was, not surprisingly, upset about what happened. It spurred a little awkwardness in our relationship for a little bit but I wouldn't have been able to get through the stress of knowing I had to start over on my challenge, and the pressure that I put on myself, without him. Luckily, he became very understanding and we both moved on. We set new boundaries, even though I am an adult and can make my own decisions. I still greatly value what my dad, and family in general, has to say.",2,5,6,18,female,White,
1a,1392,control,"I was arguing with someone that Stephen Curry was better than Lebron James. I kept stating facts and numbers that I thought proved my point. On the contrary, the person I was talking too just kept saying that Lebron was the best and there isn't even an argument to be had. This just frustrated me even more. I don't get how people can argue a position when they have no numbers or data to support their stance. We continued on in this fashion until finally I realized that it wasn't worth it anymore. I looked at him and said, ""We are going in circles, there's no point in arguing anymore."" Then after this we went out to get some lunch.",5,4,3,19,male,I prefer not to answer.,
1a,1397,control,I was fighting with my ex boyfriend about cheating one me. He lied to me about it multiple times but I provided evidence and he finally caved and said he did. And then we fought for a very long time,7,1,5,18,female,White,
1a,1405,control,I had a conflict with someone about where to play basketball at. We were at a school and he wanted to play there but we had to wait about 30 minutes for the kids to clear the school. I said we should go just down the street to a different school and start playing but he didn't want to drive.,6,3,5,19,male,White,
1a,1409,control,"At my job, I had a lady ask for her car to be pulled up. After looking at the ticket she handed me, I concluded that she would need to pay $6 for the service as that is company policy. When she heard this, she became irritated as the person who had welcomed her and had welcomed her for the past few days said her parking would be free. I informed her that this was unfortunately not the case. I had parked her car up close for the convenience of both of us and when she saw this she immediately began yelling at me for her 6 dollars back. She claimed that her car was ""right there"" and that paying 6 dollars for it to be there was unfair. I didn't know what to do because we don't offer free parking and I was just trying to do my job so I asked the manager and ended up giving her the 6 dollars back. She made a big scene over 6 dollars when in the end if she had done ""self parking"" which is much less convenient, she would have paid way more than what I offered her. After things settled down, she came back up to me to tell me off some more. Her father joined in as well and it put me in a bad mood for the rest of the day.",6,1,2,19,female,White,
1a,1415,control,"I don't often get Into conflicts. There was an instance in the dorms earlier this term though regarding pickled herring. I am North German, as in I speak German, hold German citizenship, and have close relatives that live in North Germany. A traditional food in north Germany is all types of pickled and smoked fishes(very different from the south German schnitzel and sauerkraut). This girl from my floor had the audacity to say that I was unfamiliar with the term for pickled herring(Matjes) based on her one experience with it since she had Scandinavian ancestors multiple generations back. My aunt lives in Norway and after some checking with her, I was completely right as to how any person in Scandinavia or north Germany calls this delicacy. Yet this girl who knew I was from Germany continued to claim that I was wrong and that this was a blatant attempt to argue just for the sake of arguing. It still irritates me to this day that someone would so stubbornly claim to know more on a subject than someone who has about as much authority as exists on the subject(it being their culture). This baseless confidence to correct me on a fact that they weren't sure what the answer was, they just knew it wasn't whatever I said, is quite irritating and as a result I try best to never have to interact with this person.",7,1,6,18,male,White,
1a,1418,control,Once my dad and I got in a huge argument about one of my ex partners. He got upset because they were significantly older. Not only that but he had a bad reputation in our town despite being a really good student. We both yelled and got really upset. This fight lasted weeks. Later down the road he still refused to accept him and those two ended up getting in a screaming match. It was never resolved. In the end though my dad was right. Little did I know they did not treat me well at all and I ended up getting hurt in the end.,4,5,3,19,female,"Some other ethnicity or origin, please specify:",Mixed Alaska Native and white
1a,1425,control,"One time I punched a kid in the face. This was during 5th grade. He was far bigger then me. He shoved me over, which instigated the incident. I stood up and punched him in the mf nose. He ran away crying like a little bitch. I didn’t even get in trouble. It was a very a redeeming experience.",7,1,1,19,male,White,
1a,1427,control,"A memorable conflict I had with another person happened in my junior year of high school. I got involved with a girl who used to date one of my friends. I did not sate her out of spite, but my friend did treat her pretty terribly and we hadn't talked extensively in a while. A few weeks into our relationship, he caught wind that we were together. Upon finding out, he began threatening me through her, sometimes even to my face. I never reacted because nothing good would come of it and I would've just looked like a jerk. Though the relationship was short lived, it was the final straw in me and her ex's friendship. awe haven't spoken at all since. Frankly, he was a really bad person and I'm glad not to be associated with him any longer. I think this was an important experience for many reasons. Most of all, it taught me not to stick around in friendships that make me uncomfortable.",7,1,2,19,male,White,
1a,1431,control,The conflict I have had with someone recently was when my roommate got kicked off our track team so she had to move out. She left a bunch of her stuff in my apartment that both myself and my other roommate did not want. I confronted her about how I did not want to deal with her stuff and she got very upset. She is crazy hence why she got kicked off the team and an extreme narcissist so it wasn't a surprise.,7,1,2,19,female,White,
1a,1433,control,"A conflict that I had was with one of my best friends in high school, Elisha. We were best friends since middle school, and we did everything together. We had gotten into a few fights before. This time she was mad at me because I got another friend, Angel, and she was upset that I was spending more time with her. The reason I had started to hang out with someone else is because Elisha also got another friend and was hanging out with her. When I told her this, she said that she would stop being her friend if I stopped being Angel's friend. I did not want to have to do this, because I did not think it was a big deal. I did not think that either of us should have to stop being friends with anyone. Just because both of us have other friends, does not mean we are any less best friends. But, she did not see it this way. When I told her that I wasn't going to stop being anyone's friend, and she shouldn't either, she never talked to me again. She blocked me on everything and never talked to me at school and completely ignored me. I still think about her everyday, and I miss the friendship we had because she was one of the best friends I ever had.",5,2,7,20,female,White,
1a,1440,control,"i was fighting with my boyfriend. We were in the car and started arguing over something unimportant because we were both tired. I wanted to have more quality time together and he works alot. He thinks the fact that we live together is spending time together. But i needed more attention than just coexsiting. H e thought i was being ungrateful for his working and i thought he was taking me for granted. we talked for over an hour. More like yelled, and i cried. But he saw that he was wrong, and i saw how tired he was at work. We have worked on it and i am really proud of us. We are making each other be better, healthier people. and i feel like hes worth it, and he makes me feel the same way. I have never been in a relationship where i truly felt connected with someone and was able to bring them into my life",4,5,4,19,female,asian,
1a,1444,control,"When I was a freshman in high school, I got in a disagreement with a friend. She was making snide remarks about the Trump election. She kept saying that Trump would win and was excited to see it happen. I was really upset that he won and took it out on her over a group text in that friend group. Before meeting her I had never had any out right republican friends and didn't understand her opinions. The text was definitely extreme and I should not have sent it. She ended up blocking me on socials and left the chat. I apologized and she rejoined the group chat but we are no longer close. It's a friend group made up of people from different states so it didn't have a huge impact on me socially, but it definitely stayed with me.",2,3,5,20,female,White,
1a,1449,control,Fighting over getting a tattoo and piercings. Got in a fight with my parents over getting a nose piercing first. They have a hard time understanding that I can do what I want with my body. This obviously then looped over into when I got my tattoo and we got in another fight. They tried telling me Im unemployable with these tattoos and piercings (literally just the nose and ears). I then fired back with saying times are different and they dont understand. They then fired back with drug testing me and threatening to not pay for my college if I fail (for even something as small as nicotine/weed) . This then caused a summer's worth of tension and a strained relationship with my parents. No offense but this study is awfully personal for a survey going to who knows where.,5,3,3,19,male,White,
1a,1454,control,"Well I got in a fight with this one guy because I stole his pumpkin. It was Halloween night and I was at his house. Eventually I decided wow I need a pumpkin. So i walked to his porch and grabbed it. As soon as I got my hand on it there was someone waiting for me. ""Bro that is my pumpkin"". long story short I was not willing to give it up. This led to a verbal discussion. But then it got physical. Eventually I went on to beat his ass.",4,4,3,19,male,White,
1a,1455,control,"My best friend of 14 years attended University of Oregon with me. We went to elementary, middle, and high school together, and naturally I was excited to attend college with her. We started oru freshman year off well and we hung out frequently, however, winter term came and we began to drift apart. COVID-19 hit just before spring term of last year, and when we returned home our bubbles were tight. Mine included only my family and hers. Her birthday rolled around and we hosted a party with 10 girls. My family spent quite a bit of money to make her day special and my dad even took a day off of work to take her out on our family boat. She had a very eventful and fun day and was very grateful for my family's efforts. My birthday rolled around in the fall, right before we came back to school. I invited several people, but only a few could show because of bad weather and other commitments. My best friend was one that could come, however, she only stayed for an hour and refused to spend the night due to ""more important plans"" with her boyfriend. Despite my efforts to make her day as special as possible, she barely had any interest in my day which I ended up spending the night alone after the few others left.",6,2,1,20,female,White,
1a,1460,control,"During junior year of high school, I had a problem with this kid named Brendon for no particular reason, he was just a dick. We had the same math class, and one semester he was seated right in front of me for a while. One day we had a study day to prepare for the test or finish up on whatever work we were behind on, so the teacher was just at his desk grading homework. I walked past this kid and turned in my homework at the front of the class, and when I walked back he had his feet crossed out in the middle of the walkway, so I accidentally stepped on his shoe. I didn't say anything, I just sat back down at my desk and studied, but this kid took it way too personal. He looked back and started talking so much shit, he was so butt-hurt about me not saying sorry, so I told the dumbass I was sorry and he still wouldn't shut up. I told him if didn't want his shoes to get stepped on then keep them out of the walk way, and he kept talking and talking, so I just looked at him and said ""if you're so upset, do something about it"". Of coarse he didn't, he just said ""nah bro, why dont you do something"". I literally looked at this kid like he was special needs and said ""then shut the fuck up"". By then the teacher had walked over and separated us, so it deescalated quickly. long story short he was trying to fight me at the park after school, but the principle and the cops got involved so we didn't.",2,1,1,19,male,White,
1a,1466,control,"I fought with my friend about an event that happened with a boy while I was not there. There was an argument about her intentions, and whether or not she was being honest.",5,3,1,20,female,White,
1a,1469,control,"My friend and I got into a conflict when I had made previous plans on a night that she wanted to do something for her birthday and I told her I had plans. There was high tension but overall we had come to the conclusion I would not go but it still made her upset I debated it. We ended up having a very long conversation about it. It was an event for our other friend so I thought both of us could have gone, she was not happy with that so ultimately I went to make her happy.",5,3,2,20,female,White,
1a,1471,control,"I had a very in depth conflict with my girlfriend that still remains in our lives. We sustained a long distance relationship freshman year of college and throughout that she visited me twice. I however, never visited her and this left a mark on our relationship. Ever since then she has not been able to trust my word or put all of her faith in me because of that issue. The reason that this has stayed to prevalent is because she spent hundreds of dollars tons of time to go out of her way to visit me and I never cared enough to visit her. From this she has had a scar in her heart that never healed and she still has issues with me. It comes up in conversation from time to time and she reminds me of how awful I was to her freshman year. It seems that it has left a permanent scar on our relationship and I do not know if it will ever be healed.",1,7,5,20,male,White,
1a,1474,control,a conflict that I have dealt with is at office depot. they have printing services and I was trying to print something out and usually all you do is email them what you want to get printed. I emailed them and went into the store and asked for them to print what I had sent them and first of all I waited in line for 15v minutes everybody walked past me and didn't do anything about it to help me. when I finally got helped the cashier was raising her voice and telling me that she had told me earlier that I couldn't email them that I had to do it online and I told her that I wasn't aware of this. nobody had informed me and I told her that she had not told me because I hadn't been in the store in months that she probably had me confused. she was being super rude and didn't want to help me. I tried to stay calm but I was getting annoyed because she was talking at me and raising her voice and more when I was trying my best to be patient and calm.,6,1,1,,,,
1a,1476,control,"In July 2020, my friends and I went out to the Mojave desert in SoCal to camp, shoot guns, do shrooms and enjoy nature. The first night we were there, we had made a fire and were all chilling around it cooking hot dogs. One of our friends, let's call him X, who had been off shooting guns came back to the fire and leaned the gun (12-gague shotgun) in a way that it was pointing at me. In that moment I felt uncomfortable and disrespected, and I recognized that several other members of the group were not okay with X's actions. I asked him to move the gun to a safer position, which he refused to do on the grounds that he had unloaded the gun. I did not know this, but out of respect for gun safety I insisted upon him that he move the gun to a safer position. He began to get mad at me and called me a bitch, and I said calmly that he was projecting his insecurity onto me. He then began to try and reason with me (the gun still pointed at me) and said that he meant to cause me no harm and that he respected me. I immediately interrupted him and told him that if he respected me, he wouldn't have put the gun there, and that if he wanted to respect me that he would move the gun. He proceeded to get more angry, and concluded that the right thing to do was to pick up his heavier, bolt-action sniper rifle and wander off into the night and shoot at random debris. We never talked about it after that night.",7,1,2,20,male,White,
1a,4,pt,"women took child from a man whom she lied about, used manipulation, unlike the kind we use in science. Its all good, life went on with out that girl by the mans side.  Thank gosh for that the man had a valid way of being without the pain that she had caused, like;ly just like rthe others are the same and gone. Born to dirt and swept away, never too fade away, just go.",7,1,7,47,prefer to self-describe,I prefer not to answer.,
1a,10,pt,"I had a conflict with a former partner about moving in together. Though we had agreed to live with one another, I did not wish to move cities, especially without having a job lined up there. I did struggle to find work there, before ending the relationship and eventually moving back to the city where I lived before. My ex probably feels that I approached the entire arrangement with a defeatist attitude. That could be true. According to our last conversation about the matter, she also feels guilty for pressuring me to move in the first place.",5,4,3,27,male,White,
1a,14,pt,"Had argument at dinner with friends about our frisbee team strategy and leadership skills as an individual. It was a group of six of us, the one I had a conflict with was bring up the point that the team we had played for was a Offensive focused team, and that we need to spend more time on defense. A few of us took issue with his point as that we mostly played for the d-line and felt slighted by his points. Especially since he only played offense and never considered defense strategies. This lead to a discussion about his leadership skills and how he shrugs off responsibility. He felt like he was being attacked and that we were getting too defensive with our thoughts. That we didnt really listen to what he was saying and making jumps in our thought process.",7,3,6,26,male,asian,
1a,27,pt,"When one of my roommates moved out last year, I took control of the utilities bill. So, I had to set everything up and the utility company required a deposit since it was a shared meter. I sent out a long text to my other roommates who were still living there asking to them to pay a share of the deposit. One of them had a serious problem with this. He argued that he pays on time every month and since he didn't have to pay any deposit in the past, he wouldn't pay for this one either. He was probably thinking that he's just a passive resident and since he pays what he's supposed to each month that there should be no problems or extenuating circumstances that ever happen to him. We exchanged some texts back and forth, me trying to explain what the utility company said and why they needed a deposit, and him arguing things I should have done or argued with the utility company about. I made the point that he should have taken over the utility himself if that was the case and nothing productive was said from there. The conflict never really resolved and I just gave in and paid the whole deposit myself. I figured that some fights weren't worth the effort and it has led to a great deal of resentment for him for some time now.",6,2,3,23,male,White,
1a,30,pt,"One current conflict going on right now is social justice. Some people I am close to think that these people are only disrespecting the flag and police. I, like many other people, believe non-POC must support BLM and other movements to help fight against social injustice. My friend think I am fighting against America by doing this. Thus, they feel like I'm a traitor. Conversely, I feel like they are being racist. I think this situation is happening to many people throughout our country currently.",7,1,3,23,male,White,
1a,34,pt,When I broke off my engagement to my ex I kept the house and kicked him out since I was paying all the bills. When I did this he made copies of his house key and returned me just one. I thought it was all over until he started breaking in and stealing my emotional support pet weekly because I didn't deserve him in his eyes. I was traumatized from this occurrence because I would come home and my puppy would be gone so I would have to call and beg for him to bring him back. I have my dog now and have moved and there is no chance of that happening again but I'm sure my ex thinks I'm a bad person because I kept the dog and won't let him see him because I'm afraid he will take him again.,7,1,7,23,female,White,
1a,40,pt,"I hadn't been cleaning up some of my dishes because my roommates would leave a lot of theirs in the sink all day. I would clean up what I cooked with, but not what I ate out of. My dishes to their dishes ratio was about 1:5. I convinced myself that a couple of my dishes wouldn't make a difference to her. My roommate who cleans up after her and our other roommate (her boyfriend) felt frustrated because she was already cleaning up after someone else. I felt like something was off for about a week before she decided to talk to me. Things got a little uncomfortable in the apartment. She was probably anxious about confrontation. I didn't bring it up until she wanted too because I also don't like confrontation. I was understanding when she talked to me about it. Afterwards, I began cleaning up after myself, but also decided to clean up her and her boyfriend's mess if I found I had the time.",1,7,5,22,female,"Some other ethnicity or origin, please specify:","Mixed, caucasian and asian"
1a,44,pt,"I disagreed with my friend's political views about the environment. However, I attempted to listen to his views and empathize. That being said, it was extremely difficult to accept his views because I am a strong supporter of the environment as well as the rights of indigenous persons. Although we had opposing viewpoints, we came to a conclusion that we were not going to agree on all matters and we are still friends despite our different political stances. He supports Donald Trump and his agenda while I do not. It is important to note that it is okay to express your views however it is crucial that you are not a bigot in matters. Bigotry and complacency is something that this country has an issue with. I would also like to add that I have an issue with the ongoing police brutality and racism but my friend does not. I am glad we could settle the conflict peacefully however.",7,2,5,22,male,"Some other ethnicity or origin, please specify:",Japanese American
1a,47,pt,"A friend does not agree with the current romantic relationship I am involved in. This is because in the past I had a disturbingly toxic text conversation with that person and felt that I needed to end that toxic relationship and asked my friend to support me in doing so. However, I decided to give that person another chance because I felt as though there was just poor communication on both our parts and I believe in second chances. However, my friend told me that he will no longer see me the same way again if I continue my romantic relationship. I am conflicted because this friend means a lot to me but I don't approve of the manner in which it feels like I have to choose my friend or the romantic relationship. I believe my friend wants the best for me, which, in his mind, would be ending the romantic relationship. I know he has strong feelings for me otherwise he wouldn't care so much. I just wish it didn't feel like I have to choose between my friend and the relationship I want to pursue. I wish my friend could just support me through the romantic relationship and give my partner another chance as well as they haven't even met each other in real life.",5,4,6,22,female,asian,
1a,50,pt,Had a breakup that didn't go as smoothly as id had hoped. We argued consistently for the first time during the breakup process. I felt that their were issues in communication and she felt we were incompatible. It started abruptly out of nowhere with almost no warning. We have been on good terms and I hope she is doing well. Id hope she feels the same way for me. I think both of us needed time to cool off and now that we have I think we are on better terms. I think we would both feel awkward around each other in public. I think both of us may feel defensive around the other person. I think we are both confused about the circumstances of the breakup. I think both of us hope for the best for the other person.,5,5,4,22,male,White,
1a,54,pt,"My friend thought I betray him and he think is awful. For me I think it's little bit of disgrace and pity. We had a fist-fighting by each others, and finally we freak up. After 3 months I try to remedy our friendship. I bought a gift for him but he ignore it. Then I decided to remedy our friendship with his parent's help. Under his parent's pursuing, he also decided to remedy our friendship.",4,4,5,22,male,asian,
1a,58,pt,I used to had a conflict with one of my friend about his behavior. He being too lazy and did not spent his time wisely. I think he just being himself lazy as usual; he would probably believe that is his usual behavior so I can mind my own business.,5,3,4,22,male,asian,
1a,59,pt,"My roommate brought home a 30 year old stranger.  She did not tell anyone that he was going to spend the night, nor stay for 2 plus days.  They did several activities and got to know each other pretty well, but my roommates and I spent the night at another house because we did not feel comfortable.  I think my roommate who brought this guy home feels like he is no threat because they got to know each other, but does not see our point of view.  I think she feels bad that we did not feel comfortable, but she had fun with him so she does not think it was a problem.",7,1,4,21,female,White,
1a,69,pt,"The other day my brother and I got in an argument, he was upset because my roommate and I were arguing. He was annoyed at the fact that we were being loud, and said we argue too much. This argument had nothing to do with him, it was a stupid prank I played between my roommate and I. My brother showed real clear signs of anger, like raising his voice and his facial expressions. Shorty after my roommate and I were over the prank and were confused why my brother was so upset. We all felt as if my brother was overreacting and I tried to diffuse the situation with him, but he made it larger. He told me that he felt as if I side with my roommates more than him, which I found confused, because my roommate and I were arguing because he did not agree with what I did. My brother is very emotional and he chose to not speak to me for a few days. The issue was eventually behind us, but the way resolution came it more so came because it just became a thing of the past. He chose to not talk about it, more so just act like it didn’t happen.",6,2,5,21,male,White,
1a,72,pt,"a resent conflict I had was with one of my roommates. There are eight people who live in my house and only one washing machine and one dryer. He has a habit of putting his cloths in the washer and then leaving the house for hours, forcing the rest of us to take care of his laundry. This happened to me two days days in a row with his cloths. So on the second day, I confronted him and told him that he should only do his laundry when he has the time to move it over and take care on it himself. He kept repeating about how busy he was and that it was hard to find a time to do it. This is true, he is in a difficult major that is time consuming and I'm sure he really feels that there is no other time to do it. The more I told him about how frequently this happens, the more he started to apologize. Then I began to realize that I had come off a little harsh for an issue about laundry. The way It ended is that I just made him move my laundry from the washer to the dryer one time.",5,3,4,21,male,"hispanic, latinx, or spanish origin",
1a,79,pt,I had a disagreement with a boyfriend's mom because I thought she was too controlling and did not respect her son and so when she was bullying him one day I stood up to her and told her to stop and she saw my actions as disrespectful to her authority and that I was ungrateful for the things she had done for me. She had not been used to anyone standing up to her and I believe it came as a shock. Before that we had a good relationship and I had really looked up to her but the fact that she was so apt to turn on anyone who disagreed with her was frustrating and I was never allowed over to their house after that.,5,4,5,21,female,White,
1a,82,pt,I like to smoke weed sometimes. My girlfriend doesn't like when I smoke weed. Sometimes I don't tell her when I am high. She doesn't like to be around me when I'm high. She feels triggered when she is around me when I am high because she used to smoke and drink a lot. She is sober now so it is hard for her to see someone else indulge in mind altering substances. This is a conflict because I like to do this sometimes but we live together so we are usually home at the same time. She feels like I am picking weed over her sometimes. This is because I hurt her feelings by smoking weed when I know that it bothers her. I don't smoke very much because of this reason.,3,5,7,21,male,Native Hawaiian or Other Pacific Islander,
1a,93,pt,"I once had a conflict with one of the people who bring signs to campus. The hate signs that say all these people are ""inferior"". They ""aren't in Gods image"".  One of those people who come and say wrong and hateful things. The other person probably thought what I stood for was wrong and that I was wrong. He probably believed I was inferior to him and needed to change. I was not alone when I confronted this person. I was with other friends who were actually much more passionate. Everyone who came with me was quite upset with this man. They wanted him to leave. Some people took his sign, which probably only escalated the situation. But to promote hate speech is wrong.",5,3,2,21,male,White,
1a,94,pt,"My partner wanted to make suggestion about how best to sew a project I was working on, but I was insistent that I needed to follow the pattern. I kept saying that I wanted to follow the pattern but they kept saying I should try my own ideas and ignore the pattern. I just kept saying that I wanted to follow the pattern. I got very angry and forcefully said that I wanted to follow the pattern because I was new to following patterns and I wanted to learn. In response they said ""why didn't you say that in the first place?"". I was furious because they weren't listening to me, and they were upset that I had let my anger get the best of me. They also felt like I was ignoring their suggestions.",7,3,3,21,non-binary,White,
1a,107,pt,"My girlfriend at the time (ex now), didn't always like the fact that I wasnt religious but we never made a big issue out of it. Until nearly three years after we started dating it was discusses more and more frequently. It was hard seeing her like that, between a rock and a hard place, and also feeling convicted in my own beliefs. Probably for the best, she ended things against my better judgement. I thought we could have the cake and eat it too but she couldn't see it. It's been about a year and a half and I haven't talked to her in a month or two but I know she's doing well. At first I think it was really tough on her because she was a pretty reserved person and I know how she felt about me so to see her make that decision, to end things, for God, it made me rethink her relationship with God. I think her thoughts on the whole experience are similar to mine- a huge life learning experience that I will never forget. We'll text every now and then just catching up but I don't think we'll ever be able to be true friends again without bringing up the romantic feelings from the past. This was one of the biggest conflicts in my life with also the best resolution that could have happened.",1,7,5,21,male,White,
1a,122,pt,"A conflict was one I had with a roommate. They kept stealing my food in my room and in our shared fridge. I have previously told them on numerous occasions to let me know before they ate it, either to ask if they could or at the very least letting me know that they have ate it. But this time was different, because I specifically told them that this was the last piece I had of something and that I wouldnt be able to purchase it again in a while. However, after a long shift at work, I thought about eating it to only find it gone and the wrapper empty on the floor and so was the box. I confronted them, and reminded them specifically that I have told them not to. They shruged and said they were hungry simply. I think the other person from the body language and attitude did not care for the situation, especially since is not the first time a similar conflict has happened.",7,1,5,21,female,Native Hawaiian or Other Pacific Islander,
1a,137,pt,another person and I disagreed on some simple morals of that didn't have to be argued about. I got mad and I made them feel guilty about it. I never said anything bad. But I worded my words in ways that they felt bad about the situation. they said they didn't feel like themselves because the was always trying to please me. I never ask them for that but some of my actions led to that. they said I was a great person but needed to work on some things for myself to make myself an even better person. So I thought of how I made that person feel and I fixed it.,5,3,5,20,male,black or african american,
1a,151,pt,A conflict that I have had was between my best friend and I. She and I were growing apart and not together which made my last year of high school difficult. We were always arguing about the smallest things and we noticed things were not as fun as they once were.After we graduated we went our own ways although we had planned to study at a university together. As the waters settle I am becoming more and more interested in reconnecting.,3,5,5,20,female,"hispanic, latinx, or spanish origin",
1a,154,pt,"I had a conflict with a roommate, and close friend, about her leaving every weekend to see her boyfriend. It was mostly a conflict of me and the rest of the house missing her being here with us. Basically, every weekend of this term she had left to go see her long-distance boyfriend. Sometimes she wouldn't even tell us she was leaving for the weekend until the moment she was getting ready to go. This really bothered us as a house, because we are all close friends and are pretty communicative with each other. Also, we missed hanging out with her on the weekends. When I would try to convince her to stay, she would find every excuse to make leaving us justifiable. I get why she would want to see him instead of us, since she sees us everyday, but we don't hang out much through the week because we have school and work. I think she didn't understand that even though we all live together, we still want to do stuff and hang with her on the weekends. How she must feel is that we don't need her as much as we actually do.",5,5,5,20,female,White,
1a,165,pt,"I had a conflict with someone in my sociology class over hegemonic masculinity and the “myth of the pickup.” During our discussion section: most of the class was in consensus regarding the theory: that when men go to bars to try and pick up women: they’re not preforming with the goal of actually picking up a woman or being successful: but actually preforming for their fellow males. This homosocial performance, as stated in lecture, is most successful when the man is able to act dominant and objectify women with his peers. If the peers don’t observe the behavior: the whole action becomes obsolete. My classmate during the discussion on this theory disagreed: stating that men are oppressed to think that the only way they could get the girl is by acting in this certain dominant manner: and that their friends were just kindly trying to help. I told this person that obviously their interpretation is based and they their personal opinions don’t stand in the face of scientific research.",7,1,6,20,male,White,
1a,174,pt,"I had a conflict the other day while I was in the car with my boyfriend. We were at a stop light and the light turned green, but because the car is a stick shift, it takes a little longer to move forward once the light is green. The lady in the car behind us honked, even though it didn't take much longer than the other cars. Maybe she was impatient because she was running late, considering she honked very quickly after the light turned green. After this, my boyfriend angrily threw his hand up, to ask why she honked. She then pulled up next to our car and started taking a video or photos of us. By now, she must have been angry because of my boyfriend throwing up his hand. After this she drove down a different street. My boyfriend and I were angry that she took footage of our faces, and did not get a photo of the license plate instead. I was scared that she'd try to get us to crash the car.",5,2,6,20,female,asian,
1a,175,pt,I got into an argument with a friend about basketball. I sprained my ankle and was in pain. He didn't help me out enough. When it was really swollen we finally left. I had a grade 2 sprain. He never apologized. I think he feels bad but he still doesn't get it. We have both moved on but he doesn't feel as strongly about the conflict.,6,2,4,20,male,White,
1a,179,pt,"My boyfriend is graduating this year from the University of Oregon, but he lives in California. Instead of going back home to his parents, however, he's decided to stay here with me until I graduate. His mom was NOT happy about this. She told him a lot of horrible things, like he was a failure and that he was ruining the family. She couldn't have a conversation with him without yelling. She's not great at regulating her emotions, and I think she's pretty selfish and hypocritical. However, from her side of things, it has to be painful to have to let your kid ""leave the nest"" once and for all.",6,3,3,20,female,White,
1a,182,pt,"I had a conflict with someone I was dating. He had left town and decided to tell me right before spring term started when I was expecting to see him that he wasn't planning on returning. He was worried I would get upset and didn't want to tell me. I was very hurt by this information, confirming his worries. I assumed we would continue talking but he slowly started to fade away. I brought this up with him and needed to know if things were over between us. Whenever I did bring it up he would either ignore my text or become agitated. He finally ended things between us by saying that he was never coming back to town and that our relationship wasn't serious. He then began questioning what I was expecting from him and why I kept being dramatic. I still don't fully understand why he didn't want to speak to me anymore and why he said what we had wasn't serious because it conflicts with things he has said and done in the past. I think he is stressed out by other things, including me, and that he is struggling with his own issues, therefore doesn't want to make the effort to continue a relationship. I wonder if he misses me and if he ever did care about me, but I'm starting to doubt it.",6,3,4,20,female,White,
