file,participant,condition,conflict_text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1a,868,asother,"My partner is upset with me because she feels that I do not have a plan for my life. I have optimism for my own future but taking steps in order to make these things happen brings me significant anxiety, and so I have a hard time following through and truly reaching for my goals. She is not that kind of person at all, she wants to pursue a high paying career and succeed as soon as possible because she wants to start her own life. I can understand this, but I feel that she approaches me with too much aggression in these conversations. It makes me feel like a bad person, and she is not empathetic with these feelings. It makes me feel that she will leave me because of my lack of success even though I am putting a lot of effort into this part of my life. She gets so frustrated with me which brings me even more anxiety surrounding these situations. We get into big arguments about these topics and even when I show vulnerable emotions (which is not like me) she completely lacks empathy for me or my emotions even though she usually softens her tone when I show she is upsetting me. I am afraid she will leave me because of these conflicts. The actual arguments are rare, but the problems persist. She frequently brings careers to my attention but I am afraid to commit to these type of things and I know this makes her angry.",252,13.85,19.14,55.46,1,22.91,16.67,95.24,62.3,26.98,19.05,12.3,0.4,0,6.35,0,7.94,2.78,12.3,6.35,6.75,9.13,1.59,15.87,4.76,1.98,1.59,0,1.98,7.94,1.59,5.56,2.78,1.98,0,9.13,0,0.4,6.35,0,15.87,3.17,3.17,1.98,1.98,1.59,4.37,3.17,0.79,0,2.38,1.19,0,1.19,0,0,9.52,1.98,2.38,1.59,3.17,1.59,0,15.08,2.78,10.32,3.57,3.17,3.17,2.78,0,0,0.4,0,0,0,0,0,0,0,0,7.14,4.37,1.98,0,0,0,0,0,0,0,0.79,0
1a,871,asother,"My friends called me to tell me they think I've been acting selfishly. I recently kissed this girl that my roommate had previously been in cahoots with. I know it was wrong because I also already have a girlfriend, but I just couldn't resist. The roommate who I directly wronged was not very angry at me. However, it was my other roommates who expressed their dissent. They explained how I've been acting very selfishly lately. They also explained how they do not want this situation to ruin our rooming situation. I took responsibilities for my actions. I have called each of them and explained how I regret every part while asking if there is anything I could do better. However, I still have not told my girlfriend.",127,1,34.68,97.76,1,12.7,22.83,95.28,64.57,28.35,21.26,15.75,0.79,0,0,4.72,7.09,1.57,5.51,13.39,11.02,9.45,3.15,23.62,3.15,1.57,3.94,0,2.36,7.09,1.57,5.51,0,0.79,1.57,20.47,0,4.72,0.79,0,18.9,3.94,3.15,3.94,1.57,1.57,6.3,0,0,0,0,0.79,0,0,0,0.79,9.45,6.3,0.79,0.79,1.57,0.79,12.6,9.45,0,11.02,0.79,5.51,4.72,0.79,0.79,3.15,0,0,0,0,0,0,0,0,0,12.6,7.87,2.36,0,0,0,0,0,0,2.36,0,0
1a,875,asother,"A conflict I have had is with my daughter. This conflict happened while she was in high school around the age of 18. Her curfew is midnight and it's always been midnight because I don't like her staying out too late. One night she asked to stay out till 1am. All she was doing was hanging out at her friends house, therefore, I didn't understand why she needed to stay out that late. I told her midnight is a reasonable time to be home. I said if they need to do any more talking, they can do it over the phone. She didn't understand and asked again. I said no and I expected her to be home at midnight. I don't change the rules for her other siblings, therefore, I won't change the rules for her.",136,19.87,61.58,33.13,38.87,13.6,15.44,93.38,63.24,21.32,17.65,7.35,0,0,8.82,1.47,3.68,4.41,13.97,15.44,4.41,5.15,4.41,25,2.94,0.74,0.74,1.47,2.21,0.74,0.74,0,0,0,0,17.65,1.47,0.74,9.56,0,13.97,2.21,5.15,2.94,1.47,1.47,2.94,2.21,0,2.21,0,0,0,0,0,0,5.15,1.47,0,3.68,0,0,10.29,12.5,1.47,17.65,3.68,9.56,6.62,0.74,0.74,2.21,0,0,0,0,0,0,0,0,0,16.18,7.35,3.68,0,0,0,0,0,0,5.15,0,0
1a,878,asother,"I cheated on my boyfriend while on vacation and my friend found out about it. She is also friends with my boyfriend but I live with her so I am hoping that if I seem really upset about it she will not tell him. I told her I was not going to see him again, that it was a one time mistake. However, I kept on seeing this boy behind my friend and boyfriends back and was hooking up with him. I told everyone I wouldn't see him again. But my friend saw a video tape of me making out with this boy in a bar where I had lied and said I had not kissed him or seen him since that one night. So she found out. And then I told my boyfriend about it and dumped him and am dating the guy I initially cheated with.",148,6.95,41.97,78.21,2.3,18.5,9.46,98.65,68.24,28.38,21.62,13.51,0,0,8.11,0,6.76,2.7,13.51,6.76,8.11,11.49,2.7,19.59,0.68,0,0.68,1.35,0,5.41,1.35,4.05,0.68,2.03,0,20.27,0,6.08,3.38,9.46,12.16,2.03,1.35,2.7,2.7,0.68,6.08,4.73,4.05,0.68,0,1.35,0,0.68,0,0.68,8.78,6.76,1.35,0.68,0,0,10.14,5.41,2.7,14.86,1.35,7.43,6.76,0,2.03,0,0,0,0,0,0,0,0,0,0,7.43,5.41,1.35,0,0,0,0,0,0,0.68,0,0
1a,881,asother,During my basketball trip conflict I think my coach was just in the heat of the moment and I like to think that she didn't mean it because she didn't end up taking our jerseys.,35,28.22,12.66,99,78.19,35,11.43,91.43,62.86,25.71,20,11.43,2.86,0,5.71,0,5.71,5.71,14.29,8.57,2.86,5.71,5.71,22.86,2.86,0,0,0,0,2.86,2.86,0,0,0,0,8.57,0,0,5.71,0,17.14,8.57,2.86,0,0,0,5.71,0,0,0,0,0,0,0,0,0,11.43,2.86,0,5.71,2.86,0,8.57,11.43,0,17.14,2.86,5.71,8.57,0,5.71,0,0,0,0,0,0,0,0,0,0,8.57,2.86,0,0,0,0,0,0,0,5.71,0,0
1a,885,asother,"I didn't ask to be born a twin which is why it's so unfair that I can't get to go to the school I want to go to just because Mom and Dad want things to be fair. Why does he get to be happy going to the school he wants to go to but I can't? What kind of messed up logic is that! I hate that he is always the one that is happy and gets what he wants. They all don't understand how hard I'm trying just to not fall behind him. I just wish he never existed in the first place, then maybe Mom and Dad would love me as much as they love him now. This whole system is screwed up just because Mom and Dad like him more than me, so he always gets what he wants and I always end up with the short end of the stick. I hate that he always ends up getting what he wants, why can't he understand how I feel every now and then. I hate that they always side with him. And I hate that it seems like no matter what I do I won't ever be as good as he is.",205,9.3,38.47,25.63,25.77,20.5,3.9,97.07,65.37,24.88,16.59,7.8,0,0,7.32,1.46,8.29,3.41,13.17,8.78,7.8,9.76,4.39,21.95,5.85,3.9,5.37,0.98,2.44,5.85,2.93,2.93,0,2.44,0,13.17,2.93,0,1.46,8.78,19.02,2.44,3.41,3.9,1.95,4.39,3.41,0.98,0,0,0.98,1.46,0,0,0.49,0,6.83,0.98,0.98,1.95,2.93,0,0.98,20.49,4.39,14.63,2.44,4.39,7.8,0.98,0,0,0,0,0,0.49,0.49,0,0,0,0,10.24,3.9,1.46,0,0,0.49,0.49,0,0,3.9,0,0
1a,890,asother,"My co-worker asked where an entrée was in the food window. Overwhelmed, I said ""I don't know! We're really busy back here. We try to send out food in order!"". Flustered, she kept flipping through the to-go boxes, trying to find the right order. People were coming in, the phone was ringing continuously, and the tablets started going off. My chefs were taking care of their jobs, and although I was overwhelmed too, the rush started to slow. I said ""Alright, what was it again? Let me see if I can find it"" and started helping her go through each order together. I ended up finding the order on the kitchen's side of the counter. One of my chefs moved the order due to the lack of room in the to-go window. I handed her the order, apologized for my pointed statement earlier, and we went on through the end of the lunch rush.",156,89.98,60.13,99,37.09,13,16.03,92.95,53.21,14.1,12.18,7.69,1.92,0,1.92,0.64,1.92,10.26,15.38,5.77,3.85,3.85,0.64,22.44,1.92,0.64,1.28,0.64,0.64,3.21,1.92,1.28,1.28,0,1.28,10.9,0,0,1.92,0,7.05,3.21,0,1.28,1.92,0,1.92,3.21,0.64,2.56,0,2.56,0,0,0,2.56,10.26,2.56,1.28,5.13,0.64,0.64,10.9,8.97,1.28,26.28,7.05,9.62,7.05,1.92,0,2.56,0,0,0,0.64,0,0,0.64,0,0,21.15,6.41,6.41,0,0,0.64,1.28,1.92,2.56,1.92,0,0
1a,893,asother,"She asked for space. Usually we only take space from each other for a few days. Now, it's been months and she still won't talk to me. Usually we don't talk about each other either, but I guess that changed too. An ex-friend told me that they had been talking together about 'how much I hurt her.' What the hell?! I don't know if this friend is telling the truth, but I'm pissed and I don't understand how this happened. I didn't do anything. We were best friends, and I don't understand when that ended. I don't know why it all ended.",103,1,31.38,91.21,12.81,10.3,10.68,100,65.05,27.18,16.5,9.71,2.91,0,2.91,0.97,10.68,3.88,5.83,14.56,11.65,8.74,6.8,28.16,2.91,1.94,4.85,0,5.83,4.85,1.94,2.91,0,1.94,0.97,17.48,0,2.91,2.91,0,20.39,3.88,3.88,0.97,4.85,1.94,6.8,0.97,0,0,0.97,0.97,0.97,0,0,0,8.74,6.8,0.97,0.97,1.94,0,10.68,17.48,0.97,12.62,0.97,2.91,8.74,0,0,0,0,0.97,0,2.91,1.94,0,0,0,0,26.21,8.74,3.88,0,0,0.97,0.97,0.97,0,10.68,0,0
1a,900,asother,"She had brought up the subject of racism at the dinner table, and I knew that she was trying to pick a fight. We started talking about the BLM riots happening in Portland and our countering views on the subject. She remained respectful and informative, but the conversation took a turn when we started talking about local issues of race. A boy had been killed in our town and it was being labelled as a hate crime by all of the liberals, I should have known she would bring it up. She described how she knew individuals connected to the case and how underinvestigated it was, which I didn't believe because I can't imagine any of the conspiracies like that are real. I started to get passionate about the subject because she was being disrespectful, and I must have raised my voice at her because she started to cry. I have had issues with her in the past overreacting to me raising my voice. Her mom has asked me to be more sensitive to her feelings, but I don't understand why she can't just talk with me. I walked away and said some things I probably shouldn't have, and she left that night to her boyfriend's place. She decided not to come back for the rest of the break because she told her mom that she felt unsafe here, which I don't understand because she visits all of the time. She refused to talk to me after and kept freaking out whenever I would get near her. Her mom was unhappy that she never came back since she hasn't visited consistently in over five years.",275,35.19,71.96,27.74,5.95,22.92,17.82,90.18,62.91,21.09,17.09,6.55,1.45,0,9.09,0,4,6.18,14.91,9.82,5.09,7.64,3.27,22.55,2.18,1.45,2.55,0.36,1.82,3.27,0.73,2.55,0,1.09,0.73,17.09,1.09,0.36,10.18,0.73,14.55,4,3.64,1.82,1.45,1.45,2.55,2.18,0.36,1.09,0.73,0.73,0,0,0.36,0.36,5.82,2.18,0.36,1.82,1.09,0.36,10.91,8.73,0,15.27,2.91,6.91,5.82,0,0,0,0,0,0.36,0.36,0.36,0,0,0,0,10.18,4.36,2.91,0,0,0,0,0,0,2.91,0,0
1a,903,asother,"One conflict I had was when my sister and I were arguing about her watching/participating in her zoom classes on the kitchen table. I do not understand why she has to use the kitchen table. I listen to my zoom classes just fine from my bedroom. I do not like her dominating the kitchen table area with her zoom classes, the kitchen is a common area where I can talk and eat freely. Nobody cares about what her bedroom looks like, so it is fine to watch her zoom classes from there. And if she doesn't want to watch them from her bedroom, she can just go in the living room. I suppose it's better at least that she has her AirPods connected to her laptop. It's either her way or the highway. She is very stubborn, but I guess if it works for her, then it works for her.",150,19.25,57.92,3.37,63.69,16.67,15.33,94.67,60.67,24.67,19.33,7.33,0,0,11.33,0.67,5.33,4.67,12,9.33,6.67,6.67,2,17.33,4,2.67,2.67,0.67,1.33,6,4,2,0,2,0,15.33,0.67,0,12,0,8,0.67,1.33,2,3.33,0,4,3.33,2.67,0.67,0,4,0,0.67,0,3.33,3.33,0.67,2.67,0.67,0.67,0,2,17.33,0.67,11.33,3.33,6,1.33,4.67,0,5.33,0,0,0,0,0,0,0,0,0,12,6,3.33,0,0,0,0,0,0,2,0,0.67
1a,906,asother,"I was mistaken as a male in many of my classes in middle school because of my haircut and hobbies. I like to play sports and do more masuline things. I was called the wrong pronoun and got upset. Even when the person apologised I was still upset. I continued to be hostile towards this person and others around them. The other person did not seem to be sympathetic to the situation becuase maybe she did not understand. I was not trying to look like a boy, but society thinks I fit more in that category than as a girl. I have kept my short haircut and continued to play competative sports throughout high school. I have maintained a harsh attitude to deter people around me.",126,58.58,23.75,89.63,3.31,14,18.25,94.44,57.94,15.87,11.9,10.32,0,0,0.79,0.79,3.97,6.35,15.87,8.73,4.76,7.94,2.38,15.87,8.73,5.56,0.79,0,2.38,7.14,2.38,4.76,1.59,0.79,0,11.11,0,0.79,1.59,1.59,11.9,3.17,0.79,0.79,2.38,0,5.56,3.17,0.79,0,0.79,1.59,1.59,0,0,0,5.56,0.79,1.59,2.38,0.79,0.79,7.14,7.94,0,11.11,0,7.94,3.17,3.17,3.97,0,0,0,0,0,0,0,0,0,0,7.94,7.14,0.79,0,0,0,0,0,0,0,0,0
1a,913,asother,"He lied to me.  He told his friend something that I asked him to keep secret.  Because he did this, it came out, and now everyone knows.  He shouldn't have told anybody because now people are mad at me for telling him.  And the story is now twisted. He is playing us all like chess pieces.  We should have realized this when he opped on us back in August.  He had no right to get involved in this situation.  He is just trying to get back at his ex.  He doesn't actually care about any of us.",97,6,99,1.74,25.77,9.7,13.4,97.94,69.07,28.87,20.62,3.09,4.12,0,13.4,0,8.25,1.03,14.43,11.34,9.28,5.15,3.09,26.8,1.03,1.03,1.03,0,3.09,4.12,2.06,2.06,0,2.06,0,29.9,0,1.03,0,13.4,14.43,3.09,2.06,2.06,4.12,2.06,1.03,0,0,0,0,0,0,0,0,0,8.25,5.15,1.03,0,2.06,0,8.25,15.46,0,16.49,2.06,9.28,7.22,0,2.06,0,0,0,0,1.03,0,0,0,0,0,14.43,10.31,2.06,0,0,0,0,0,0,2.06,0,0
1a,917,asother,"(The conflict was me wanting more of his attention, time, and effort) This is so annoying. She's acting like such a child. Her asking for that constantly is giving me a headache. Clinginess and neediness isn't a good look. I wish she'd understand that I'm just busy, but that I still love her. She needs to grow up. We've been dating for three years - doesn't that mean anything to her? Her asking me for more attention every day is just pushing me further away. She just doesn't get it.",89,6.63,71.29,14.33,68.2,9.89,14.61,95.51,61.8,26.97,19.1,7.87,1.12,0,10.11,0,7.87,4.49,10.11,13.48,7.87,4.49,3.37,26.97,6.74,4.49,0,1.12,3.37,4.49,3.37,1.12,0,1.12,0,17.98,0,0,8.99,1.12,12.36,4.49,0,3.37,1.12,1.12,2.25,1.12,1.12,0,0,2.25,0,1.12,0,0,8.99,3.37,1.12,2.25,2.25,0,3.37,15.73,1.12,13.48,2.25,3.37,7.87,2.25,0,0,0,0,0,0,0,0,0,0,0,24.72,8.99,3.37,0,0,1.12,0,1.12,0,7.87,2.25,0
1a,918,asother,"She did not invite me to dinner, but she invited a lot of our other friends. I felt left out. I felt like my friends didn't want to see me before I move to Idaho. It was embarassing because I knew other people that saw the snpachat stories and maybe wondered why I wasn't there. When they posted stories it felt like they were letting me know they were hanging without me. I know she is a good person and had good intentions. This is just how it came off. I told our mutual friend how I felt. She relayed that information to her. She got made because I didn't approach her myself with the problem.",116,6.03,30.24,83,41.35,11.6,15.52,93.1,63.79,30.17,23.28,12.93,1.72,0,6.03,2.59,6.9,3.45,10.34,8.62,6.03,6.9,4.31,24.14,0.86,2.59,3.45,0,0.86,2.59,1.72,0.86,0,0,0,17.24,0,2.59,6.03,0,24.14,7.76,6.03,1.72,2.59,0,6.9,5.17,1.72,0,3.45,0.86,0,0,0,0.86,8.62,4.31,0,0,3.45,0.86,18.1,6.03,0,6.9,2.59,2.59,1.72,0,0.86,0,0,0,0,0,0,0,0,0,0,12.07,8.62,0.86,0,0,0,0,0,0,2.59,0,0
1a,923,asother,I was freaking out about what to wear for the party. My friend had problems with her family going on but she didn't want to discuss them. I didn't ask her about it. I was complaining and didn't know what to wear. I got frustrated and started crying because I was overwhelmed. I said my life sucked and I was useless. My friend got mad because she said clothes were not a big deal. She said I looked fine in everything. I continued to complain and get sad. My friend tried to get me to stop crying. She then got mad and said my problems were not problems so stop having a bad attitude. I then realized was being selfish and not thinking about her.,125,12.22,23.58,48.67,1,10.42,16,98.4,58.4,22.4,19.2,12.8,0,0,5.6,0.8,3.2,2.4,11.2,10.4,3.2,9.6,4.8,28.8,2.4,0,1.6,0,0,15.2,1.6,13.6,0.8,3.2,4,17.6,0.8,2.4,5.6,0,13.6,2.4,1.6,3.2,0,0.8,5.6,4,0.8,3.2,0,3.2,2.4,0.8,0,0,15.2,4,0.8,1.6,4,4.8,18.4,5.6,2.4,8.8,0.8,3.2,4.8,0,1.6,0.8,0,0,0,1.6,1.6,0,0,0,0,12,9.6,0,0,0,0,0,0,0,2.4,0,0
1a,927,asother,"Sadie is my best friend. I want to hang out with her every day. She is pretty extroverted but I guess I am more extroverted than her. She wants alone time pretty often. This makes me feel like she doesn't care about me as much as I care about her. She says she does she just needs space to ""recharge"". I feel really lonely and bored when I am alone. Sadie is one of my only friends. I want to respect her space but not feel alone. I need to make more friends.",93,16.01,29.53,12.1,45.52,9.3,6.45,94.62,55.91,24.73,23.66,12.9,0,0,10.75,0,1.08,0,13.98,7.53,7.53,6.45,2.15,23.66,9.68,7.53,1.08,1.08,4.3,11.83,6.45,5.38,0,0,4.3,15.05,0,3.23,10.75,0,21.51,3.23,2.15,5.38,4.3,1.08,5.38,4.3,0,1.08,3.23,0,0,0,0,0,5.38,3.23,1.08,2.15,1.08,0,0,23.66,1.08,8.6,1.08,3.23,4.3,0,0,0,0,0,0,0,0,0,0,0,0,13.98,10.75,0,0,0,0,0,0,2.15,1.08,0,0
1a,928,asother,The other person and I were having a conflict about a friend. This friend was being rude to the other person. We were leaving this other person out. The other person did not like this situation and she was telling us how she felt. I did not listen however. I thought she was overreacting. We could not find a solution. She decided to leave the friend group. She told us we were toxic.,72,9.47,97.37,23.51,25.77,8,15.28,94.44,65.28,27.78,18.06,4.17,6.94,0,6.94,0,9.72,9.72,5.56,13.89,4.17,5.56,2.78,26.39,1.39,0,1.39,0,1.39,2.78,1.39,1.39,0,1.39,0,29.17,0,4.17,6.94,0,19.44,6.94,2.78,1.39,0,0,9.72,2.78,0,1.39,1.39,1.39,0,1.39,0,0,13.89,12.5,1.39,0,0,0,13.89,4.17,0,4.17,2.78,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0
1a,931,asother,"I had a girlfriend who was already in a group of friends I hung out with, one of those friends was one of my best friends. Early into my relationship, I raped my girlfriend. When the friend group found out after my girlfriend told them this, I panicked and became emotionally unstable, drove to a parking lot, and told people I could harm myself. My girlfriend was empathetic and came to my help, and because of this, my best friend came to monitor the situation and later comfort me because he believed I didn't know any better and felt remorseful for my actions. The event was slowly brushed aside, but later a similar situation would occur. My best friend sided with my girlfriend, telling her to avoid me, but didn't alert the authorities because of my girlfriend's wishes and her very strict parents. He distanced himself from me for some time. After a while, we began to reconnect, but rumors of a third situation circled with the same girl, my friend confronted me, told me to never speak to him again, and demanded I talk to my parents about it because he was going to tell her parents to make sure she never had contact with him again.",208,50.88,68.46,66.51,25.77,26,20.19,93.75,56.73,20.67,18.27,12.5,0.48,0,4.81,0.48,2.4,5.29,14.42,5.29,3.85,8.17,1.92,13.94,5.77,4.81,0.96,1.44,2.4,5.77,2.88,2.88,0.96,0.96,0.48,21.15,1.44,6.73,2.4,2.88,11.54,2.4,2.4,1.44,1.44,1.44,2.4,1.92,0.48,0.48,0.96,0.48,0,0,0.48,0,13.94,10.58,2.4,2.88,1.92,0.48,10.1,2.4,0.96,12.5,2.88,2.4,7.69,0,0,0,0,0,0,0,0,0,0,0,0,12.5,3.85,7.21,0,0,0,0,0,0,1.44,0,0
1a,936,asother,"He makes me so angry when he doesn't listen to me. I'll be pouring my heart to him and he doesn't seem phased. Oh well, I don't really care anymore if he doesn't care about me. All that we have been through feels like it has gone to waste over him not listening to me. He listens to his friends but can't seem to listen to me. I am his girlfriend overall. I want this relationship to keep going but I honestly don't think it is worth it to go through this pain. It makes me so angry how he just ignores me for days over text and doesn't respond to my messages. I am starting to think there is another girl in the picture but I am a little to afraid to ask. I think I am going to break up with him in the next week. But, first I need to see what I want.",157,12.01,22.23,66.56,16.64,14.27,10.83,97.45,66.24,26.75,20.38,12.74,0.64,0,7.01,0,6.37,1.91,16.56,10.83,5.73,7.01,5.1,27.39,2.55,0.64,1.91,0.64,1.27,5.73,2.55,3.18,0.64,1.27,0,14.65,0,1.27,0.64,7.01,14.01,3.82,1.91,2.55,2.55,0.64,5.1,5.1,1.27,2.55,1.27,1.27,0.64,0.64,0,0,5.73,3.18,0.64,1.91,0,0,1.27,23.57,1.91,11.46,2.55,3.82,4.46,0,0,0,0.64,0,0,1.27,0,0,0,1.27,0,13.38,7.01,1.27,0,0,0,0,0,0,5.1,0,0
1a,940,asother,The situation involves me and friend discussing where we should eat. He says we should go to a healthy place because we both have been drinking too much and living unhealthy lifestyles. I disagree saying that i can eat wherever i please. We both immediately become angry and lash out. He argues that he is trying to do what is best for the both of us and will help us get back on track health wise. I disagree and say i can choose whatever i want to eat and i understand my body enough to know what i need. He says i do not understand my own body and should try and look up information regarding body health. I end up frustrated and we both decide we would just go home and not eat.,134,11.5,81.47,54.27,15.31,16.75,13.43,95.52,57.46,22.39,18.66,9.7,5.97,0,2.99,0,3.73,2.24,8.21,10.45,4.48,8.96,1.49,24.63,2.99,0.75,3.73,0,3.73,6.72,2.99,3.73,0,2.24,0,15.67,0,0.75,0,2.99,14.18,5.97,0.75,4.48,1.49,0,1.49,3.73,0.75,2.99,0,8.96,2.24,2.99,0,3.73,12.69,7.46,2.24,3.73,1.49,0,0.75,19.4,0.75,11.94,1.49,8.96,2.24,0,0.75,0.75,0,0,0,0,0,0,0,0,0,5.97,5.97,0,0,0,0,0,0,0,0,0,0
1a,941,asother,"When I was in high school I had this best friend. We did pretty much everything together. I really loved my best friend but she was often very emotional and needy. After high school she lived at my house for a while while we tried to get jobs to get an apartment together. After a few months with no luck she moved back home. Then a couple years later my family lost our home and was living at a motel 6. She came to live with us again to help out in hopes of being another income and another chance at finding a place to live. During this time I had gotten back together with an ex-boyfriend from high school, but little did I know he wasn't the same person. He got me pregnant and then went to jail a few months later. He was in jail for two months. After his release I got a little emotionally unstable. I started taking advantage of my friends and family. I disrespected them and stole from them. My best friend took the brunt of the abuse, I even stole her car. This short period of events is the start of the end of our friendship.",203,69.65,77,86.38,63.12,13.53,9.36,95.07,55.67,18.23,15.27,7.39,2.46,0,4.43,0.99,2.96,6.9,14.78,5.42,3.94,6.4,0.99,16.26,8.37,4.43,0.49,0.99,2.96,5.91,3.94,1.97,0,0.49,0.49,15.27,1.48,2.46,2.46,1.97,5.91,0.99,0,0.49,2.46,0.49,1.97,0,0,0,0,2.96,0,2.46,0.49,0,17.24,7.88,2.96,3.45,6.9,0,10.84,3.94,0.99,22.17,1.97,9.36,11.82,2.46,1.48,2.96,0.49,0,0,0,0,0,0,0,0,9.36,7.39,0.99,0,0,0,0,0.49,0,0.49,0,0
1a,947,asother,This other person and I were having a fight. They didn't agree with my viewpoint and completely disrespected me. I decided I would take away MY car that they borrow from me. And I also decided that they should be the first person to apologizes and I will not speak to them until they do so. This lasted 1 month.,60,1.37,25.24,93.3,25.77,12,10,95,71.67,31.67,23.33,15,0,0,0,8.33,8.33,3.33,10,13.33,5,11.67,3.33,20,0,0,0,3.33,0,3.33,1.67,1.67,0,1.67,0,16.67,0,0,0,0,13.33,3.33,0,3.33,0,1.67,5,1.67,0,1.67,0,0,0,0,0,0,5,0,1.67,1.67,1.67,0,6.67,6.67,1.67,10,1.67,1.67,6.67,0,0,0,1.67,0,0,1.67,0,0,1.67,0,0,10,8.33,0,0,0,0,0,0,0,1.67,0,0
1a,951,asother,"I opened myself up to a friend of mine by trusting them with my opinions and secrets. I told them about my family problems and mental health issues because I trusted them and knew they would support me. I told them about what I think of marginalized people in our society and how their identities effect me.  I thought everything was going well until a few weeks later after we had both returned home from college they texted me out of the blue. It was really confusing because they said they weren't hurt by what I said but then later they back-peddled and said that I hurt them. They wouldn't give me a straight answer when I asked how to make it up to them, and they bashed me for being open about my mental health struggles. I was really angry and didn't know what to do, so I cut off all contact for the mean time. I didn't really know if we were still friends or not because they never texted me back, but in the moment I was too upset and angry to care. When we got back to college after break, they never contacted me, and I only saw them twice. After seeing them interact with my roommate like normal, I decided to reach out to them to see what was going on. I was relieved when they said they wanted to move on because I like them and dont want to lose their friendship.",249,12,57.95,98.01,10.54,22.64,12.45,97.19,65.46,26.1,22.89,12.05,1.61,0,0,9.24,3.21,2.41,15.26,6.43,8.43,10.44,3.21,20.48,6.83,2.41,3.61,0.4,1.2,6.83,2.81,4.02,1.2,0.8,1.2,20.08,0.4,1.61,0,0,15.66,4.02,3.21,2.41,1.61,1.61,4.42,4.02,1.61,1.61,0.8,0.8,0,0.8,0,0,7.63,4.42,0.4,1.2,0.4,1.61,10.84,6.43,1.2,15.26,1.2,6.83,8.03,0.8,0.4,1.2,0,0,0,0.4,0,0,0,0.4,0,8.84,4.42,2.41,0,0,0,0,0.4,0,1.61,0,0
1a,955,asother,"The 2020 presidential election was very clearly stolen. All of the evidence that I have seen leads me to believe that this is the correct conclusion. Nobody wants to hear the truth and every time I try to tell anyone they won't listen, all because it favors their side. How could thousands of ballots simply appear overnight, I mean there is live evidence of the votes flipping sides. All attempts to show people in court that this is true have been silenced. I think we both want a fair election, and the overwhelming amount of evidence says that it was not fair. It doesn't matter who wins if it's fair, but it's clear that it wasn't fair and there was certainly foreign interference. Mathematically the random middle of the night voter surge doesn't make any sense. Not to mention all the video evidence there is of people dumping and stealing ballots. The American people deserve to know the truth.",159,40.41,42.51,18.96,93.95,15.9,18.24,88.68,50.31,15.09,5.03,3.14,0.63,0,0,1.26,10.06,7.55,8.18,10.69,4.4,5.03,4.4,20.13,5.66,0.63,1.26,1.26,5.03,8.18,6.29,1.89,0.63,0,0.63,8.18,0,0,0,0,24.53,6.29,2.52,2.52,3.77,7.55,3.14,6.29,3.14,2.52,0,0.63,0,0.63,0,0,3.77,0.63,1.89,1.89,1.26,0,3.77,15.09,1.26,5.66,1.26,3.14,1.26,1.89,0.63,0,0,0,0,0,0,0,0,0,0,12.58,6.29,2.52,0,0,0,0,0,0,3.77,0,0
1a,958,asother,"I frequently get into conflicts with my mom, where I want/do not want to do something, and she wants the opposite for me, or something that (in my mind) conflicts with what I want. I feel like I am at an age where I do not need her telling me what to do, but when she looks at me she still sees her baby. That makes sense, especially since I am an only child, and I know that she only wants what is best for me. She does not want me making the same mistakes that she did, or just some of the same life choices, which I think she thinks is inevitable because we are so similar. I am of the belief that I need to make my own decisions to learn for myself, and if I make a mistake or if I fail, it will be something that I did to myself and that I can learn from. I know that she only wants what is best for me, and that she has lived longer than I have, and therefore she knows better than I do. I know she only wants what is best for me, but i need to make my own decisions in order to grow.",211,7.41,7.76,58.4,33.96,30.14,8.53,97.63,71.09,31.28,22.27,15.64,0.47,0,6.16,0,9,3.32,12.32,9.95,6.16,7.58,1.42,24.17,4.74,5.21,4.27,0,0.47,3.32,1.9,1.42,0,0,0.47,8.53,0.95,0,6.64,0,25.59,6.64,3.79,7.11,4.27,0.95,6.16,1.9,0.95,0,0.47,0.95,0,0.95,0,0,4.74,0.47,2.37,3.32,2.37,0.47,1.42,21.8,2.37,7.11,0.47,3.79,2.37,1.42,0,0,0,0.47,0,0,0,0,0,0,0,10.9,3.32,6.16,0,0,0,0,0,0,0,0.95,0.47
